"압축 해제에 실패했습니다(100).\n남은 용량을 확인해주세요."|"압축 해제에 실패했습니다(100).\n남은 용량을 확인해주세요."
사용자 이미지 선택|사용자 이미지 선택
효력 없음|효력 없음
색 온도 조절|색 온도 조절
내 서재에서 숨기기|내 서재에서 숨기기
색 온도를 조절하면 독서 후 편안하게\n잠들 수 있게 도와줍니다.|색 온도를 조절하면 독서 후 편안하게\n잠들 수 있게 도와줍니다.
구매 목록이 잠겨있습니다.|구매 목록이 잠겨있습니다.
주석 무시|주석 무시
가나다순|가나다순
"파일이 손상되었습니다(105).\n삭제 후 [구매 목록]에서 다시 다운로드해주세요."|"파일이 손상되었습니다(105).\n삭제 후 [구매 목록]에서 다시 다운로드해주세요."
고급|고급
이메일 주소|이메일 주소
탭하여 요일 선택으로 전환|탭하여 요일 선택으로 전환
암호|암호
이전|이전
책장 보기|책장 보기
승인됨|승인됨
암호 확인|암호 확인
새 알림|새 알림
아직 리디 회원이 아니세요? 간편가입하기|아직 리디 회원이 아니세요? 간편가입하기
페이지순|페이지순
크기|크기
넘김 버튼 전환|넘김 버튼 전환
%1$s에서 Google Play 서비스를 사용하는 데 문제가 있습니다. 다시 시도하세요.|%1$s에서 Google Play 서비스를 사용하는 데 문제가 있습니다. 다시 시도하세요.
주석|주석
스탬프|스탬프
주석 페이지|주석 페이지
최근 다운로드순|최근 다운로드순
로그인해주세요.|로그인해주세요.
말하기|말하기
열기|열기
이벤트 혜택 알림을 수신하는데 동의 처리 되었습니다.|이벤트 혜택 알림을 수신하는데 동의 처리 되었습니다.
아이디|아이디
저자 이름|저자 이름
환영합니다!|환영합니다!
사용자 글꼴 설정|사용자 글꼴 설정
"동시 이용은 최대 %d대까지 가능합니다.\n대체할 기기를 선택해주세요."|"동시 이용은 최대 %d대까지 가능합니다.\n대체할 기기를 선택해주세요."
이미지|이미지
TTS 듣기 설정|TTS 듣기 설정
기본|기본
사용자 지정값|사용자 지정값
첫 페이지부터 두쪽보기|첫 페이지부터 두쪽보기
선택한 날짜|선택한 날짜
직접 슬립화면을 등록하여 사용할 수 있습니다.|직접 슬립화면을 등록하여 사용할 수 있습니다.
7mm 줄친종이|7mm 줄친종이
최대 50자까지 쓸 수 있습니다.|최대 50자까지 쓸 수 있습니다.
작품이 존재하지 않습니다.|작품이 존재하지 않습니다.
년|년
다음으로|다음으로
터치 잠금 모드입니다.|터치 잠금 모드입니다.
TTF, OTF 파일을 본문용 글꼴로 설정할 수 있습니다. PC와 연결 후 Fonts폴더에 파일을 복사하고 사용할 글꼴을 선택해주세요.|TTF, OTF 파일을 본문용 글꼴로 설정할 수 있습니다. PC와 연결 후 Fonts폴더에 파일을 복사하고 사용할 글꼴을 선택해주세요.
%1$s시 정각|%1$s시 정각
문단 간격|문단 간격
새로운 잠금 비밀번호가 설정되었습니다.|새로운 잠금 비밀번호가 설정되었습니다.
필터 및 정렬|필터 및 정렬
최근 생성순|최근 생성순
다음 권 자동으로 보기|다음 권 자동으로 보기
타이머 종료|타이머 종료
새 알림 %1$d개 초과|새 알림 %1$d개 초과
수정본|수정본
요일 열: %1$s|요일 열: %1$s
텍스트 스탬프|텍스트 스탬프
현재 슬립 화면|현재 슬립 화면
%1$s 삭제|%1$s 삭제
개인 정보 수집 및 이용|개인 정보 수집 및 이용
%s과(와) 공유|%s과(와) 공유
개요 없음|개요 없음
밝기 조절|밝기 조절
수락됨|수락됨
전체|전체
글자 수 제한이 초과되었습니다(%1$d/%2$d).|글자 수 제한이 초과되었습니다(%1$d/%2$d).
파일 종류는 JPG, PNG, GIF, BMP만 가능하며, 크기는 1264*1680px입니다.<br/>PC와 연결 후 <b>Sleepingscreen</b> 폴더에 원하는 슬립 화면 파일을 복사하세요.|파일 종류는 JPG, PNG, GIF, BMP만 가능하며, 크기는 1264*1680px입니다.<br/>PC와 연결 후 <b>Sleepingscreen</b> 폴더에 원하는 슬립 화면 파일을 복사하세요.
값을 입력하거나 목록에서 선택하십시오|값을 입력하거나 목록에서 선택하십시오
잠금 비밀번호 변경|잠금 비밀번호 변경
다음|다음
거부됨|거부됨
코멘트 용도|코멘트 용도
검색어 삭제|검색어 삭제
다음 문장 듣기|다음 문장 듣기
서점으로 이동|서점으로 이동
본문 상단|본문 상단
일반 공개 불가|일반 공개 불가
주석 없이 문서만 출력|주석 없이 문서만 출력
대여 만료 임박순|대여 만료 임박순
책장목록|책장목록
독서 상태 변경|독서 상태 변경
PDF 문서에 주석이 첨부되지 않습니다.|PDF 문서에 주석이 첨부되지 않습니다.
메모를 입력해주세요.|메모를 입력해주세요.
검색|검색
볼륨키를 누르셨군요!\n볼륨키로 작품을 읽어보시겠어요?|볼륨키를 누르셨군요!\n볼륨키로 작품을 읽어보시겠어요?
PDF 문서에 주석을 각인하며, 읽기전용으로 전환합니다.|PDF 문서에 주석을 각인하며, 읽기전용으로 전환합니다.
주석 첨부|주석 첨부
사용자 가이드|사용자 가이드
"DRM 문제로 작품을 볼 수 없습니다(104).\n'설정 > 고객 문의 & 의견 보내기'에 문의해주세요."|"DRM 문제로 작품을 볼 수 없습니다(104).\n'설정 > 고객 문의 & 의견 보내기'에 문의해주세요."
"파일이 손상되었습니다(101).\n삭제 후 [구매 목록]에서 다시 다운로드해주세요."|"파일이 손상되었습니다(101).\n삭제 후 [구매 목록]에서 다시 다운로드해주세요."
