삭제하시겠습니까? |삭제하시겠습니까? 
남겨진 독서노트가 없습니다.|남겨진 독서노트가 없습니다.
이 링크를 브라우저에서 여시겠습니까?|이 링크를 브라우저에서 여시겠습니까?
총 |총 
1분 미만|1분 미만
이메일 주소 수정|이메일 주소 수정
연재 무료 이용권|연재 무료 이용권
[상위 폴더]|[상위 폴더]
작품을 다운로드합니다.|작품을 다운로드합니다.
다음\n이전|다음\n이전
숨긴 작품은 '숨긴 작품 목록'에서 볼 수 있습니다.|숨긴 작품은 '숨긴 작품 목록'에서 볼 수 있습니다.
글꼴은 5개까지 설정할 수 있습니다.|글꼴은 5개까지 설정할 수 있습니다.
재발송된 새로운 인증번호를 입력해주세요.|재발송된 새로운 인증번호를 입력해주세요.
구매 목록을 보려면 로그인이 필요합니다.|구매 목록을 보려면 로그인이 필요합니다.
삭제한 작품은 구매 목록에서 다시 다운로드할 수 있습니다.|삭제한 작품은 구매 목록에서 다시 다운로드할 수 있습니다.
[설정]으로 이동하여 권한을 허용해주세요.|[설정]으로 이동하여 권한을 허용해주세요.
마지막 동기화 : |마지막 동기화 : 
댓글보기|댓글보기
기본 책장에 대여중인 작품이 없습니다.|기본 책장에 대여중인 작품이 없습니다.
최근 본 작품이 없을 경우 기본 슬립 화면이 표시됩니다.|최근 본 작품이 없을 경우 기본 슬립 화면이 표시됩니다.
종료|종료
화면을 두 손가락으로 2초 이상 터치하면 해제됩니다.|화면을 두 손가락으로 2초 이상 터치하면 해제됩니다.
개의 파일이 내 서재에 추가되었습니다.|개의 파일이 내 서재에 추가되었습니다.
등록된 이미지 선택하기|등록된 이미지 선택하기
브라우저를 찾을 수 없습니다.|브라우저를 찾을 수 없습니다.
로그아웃에 실패했습니다.\n(|로그아웃에 실패했습니다.\n(
이미 다운로드 목록에 있는 작품입니다.|이미 다운로드 목록에 있는 작품입니다.
책장 가져오기 안내|책장 가져오기 안내
문단 정렬|문단 정렬
 서점에서 보기| 서점에서 보기
링크를 여시겠습니까?|링크를 여시겠습니까?
수진|수진
영구 삭제되어 볼 수 없는 작품입니다. 결제 후 볼 수 있습니다.|영구 삭제되어 볼 수 없는 작품입니다. 결제 후 볼 수 있습니다.
마이 셀렉트에 추가한|마이 셀렉트에 추가한
신고|신고
이미지 자동 선택|이미지 자동 선택
작품 추가하러 가기|작품 추가하러 가기
입력한 두 잠금 비밀번호가 서로 다릅니다.|입력한 두 잠금 비밀번호가 서로 다릅니다.
전체 해제|전체 해제
합니다|합니다
만화|만화
결제 정보를 확인할 수 없습니다.|결제 정보를 확인할 수 없습니다.
문장 이어서 선택|문장 이어서 선택
현재 잠금 비밀번호를 입력해주세요.|현재 잠금 비밀번호를 입력해주세요.
남겨진 형광펜이 없습니다.|남겨진 형광펜이 없습니다.
로 로그인하시겠습니까?\n\n기존 아이디로 다운로드한 작품은 볼 수 없습니다.|로 로그인하시겠습니까?\n\n기존 아이디로 다운로드한 작품은 볼 수 없습니다.
로그아웃할 경우 이 아이디에서 다운로드한 작품은 볼 수 없습니다.|로그아웃할 경우 이 아이디에서 다운로드한 작품은 볼 수 없습니다.
업데이트 이전 책장 정보를 가져오는 중입니다...|업데이트 이전 책장 정보를 가져오는 중입니다...
방금 전|방금 전
페이퍼에서 이용할 수 없는 작품입니다.|페이퍼에서 이용할 수 없는 작품입니다.
카테고리 필터|카테고리 필터
기본 슬립 화면|기본 슬립 화면
도움말|도움말
Google Play Store에 연결할 수 없습니다.|Google Play Store에 연결할 수 없습니다.
사용자 글꼴 설정|사용자 글꼴 설정
검색 결과 |검색 결과 
블루투스가 꺼졌습니다.|블루투스가 꺼졌습니다.
미디어 오디오가 연결되었습니다.|미디어 오디오가 연결되었습니다.
리디캐시 <b>%,d원</b> 보유|리디캐시 <b>%,d원</b> 보유
현재 로그인된 |현재 로그인된 
블루투스|블루투스
리디포인트 <b>%,d원</b> 보유|리디포인트 <b>%,d원</b> 보유
내 책장|내 책장
사용자 슬립 화면|사용자 슬립 화면
작품을 불러오는 중입니다...|작품을 불러오는 중입니다...
원본|원본
이미지가 삭제된 것 같습니다. 확인을 누르시면 목록이 새로고침됩니다.|이미지가 삭제된 것 같습니다. 확인을 누르시면 목록이 새로고침됩니다.
<b>두 손가락</b>으로<br>화면을 위아래로 쓸어서 쉽게<br>조절할 수 있습니다.|<b>두 손가락</b>으로<br>화면을 위아래로 쓸어서 쉽게<br>조절할 수 있습니다.
구매/대여한|구매/대여한
쪽으로 진행|쪽으로 진행
전체 다운로드|전체 다운로드
외장 SD 카드로 다운로드 경로를 변경할 경우 작품이 정상적으로 다운로드되지 않거나 파일을 정상적으로 열 수 없는 경우가 발생할 수 있습니다. 이럴 경우, 기본 위치로 설정해주세요.|외장 SD 카드로 다운로드 경로를 변경할 경우 작품이 정상적으로 다운로드되지 않거나 파일을 정상적으로 열 수 없는 경우가 발생할 수 있습니다. 이럴 경우, 기본 위치로 설정해주세요.
왼손으로 페이지 넘김 버튼 사용하기|왼손으로 페이지 넘김 버튼 사용하기
현재: |현재: 
 파일을 사용자 글꼴로 등록하시겠습니까?| 파일을 사용자 글꼴로 등록하시겠습니까?
작품을 다운로드하는 중입니다...|작품을 다운로드하는 중입니다...
다운로드 후 바로 작품이 열립니다.|다운로드 후 바로 작품이 열립니다.
개의 글꼴이 추가되었습니다.|개의 글꼴이 추가되었습니다.
기기 정보|기기 정보
분 전|분 전
독서 상태 필터에 해당하는 작품이 없습니다.|독서 상태 필터에 해당하는 작품이 없습니다.
색 온도는 밝기가 1단계 이상이어야 반영됩니다.|색 온도는 밝기가 1단계 이상이어야 반영됩니다.
임시 데이터 파일을 삭제하시겠습니까?|임시 데이터 파일을 삭제하시겠습니까?
댓글 신고하기|댓글 신고하기
볼 수 없는 작품이 모두 삭제되었습니다.|볼 수 없는 작품이 모두 삭제되었습니다.
이메일을|이메일을
메모가 |메모가 
로 로그인되어 있습니다. |로 로그인되어 있습니다. 
진하게|진하게
다시 보지 않기|다시 보지 않기
회전 잠금|회전 잠금
안 함|안 함
인증번호가 발송되었습니다.|인증번호가 발송되었습니다.
비밀번호를 입력해주세요.|비밀번호를 입력해주세요.
서점|서점
 남음| 남음
JsonObject 변환 실패|JsonObject 변환 실패
오류가 발생했습니다.|오류가 발생했습니다.
인증번호가 만료|인증번호가 만료
기본책장|기본책장
저장|저장
댓글이 삭제되었습니다.|댓글이 삭제되었습니다.
대여 만료|대여 만료
내 서재 API - |내 서재 API - 
계속 진행|계속 진행
최근 본 작품에 비밀번호가 설정되어있으면 기본 슬립 화면이 표시됩니다.|최근 본 작품에 비밀번호가 설정되어있으면 기본 슬립 화면이 표시됩니다.
삭제하시겠습니까?|삭제하시겠습니까?
지원하지 않는 기기이거나 사용할 수 있는 외장 SD 카드가 없습니다.|지원하지 않는 기기이거나 사용할 수 있는 외장 SD 카드가 없습니다.
아이디를|아이디를
구매 목록 잠금|구매 목록 잠금
작품 정보가 갱신되었습니다.|작품 정보가 갱신되었습니다.
전화 걸기 및 관리 권한이 필요합니다.|전화 걸기 및 관리 권한이 필요합니다.
다운로드된 작품이 없습니다.|다운로드된 작품이 없습니다.
퀵 버튼 설정|퀵 버튼 설정
제목/저자 변경|제목/저자 변경
오프라인 상태입니다.|오프라인 상태입니다.
잠금 설정 초기화|잠금 설정 초기화
잠금 비밀번호가 해제되었습니다.|잠금 비밀번호가 해제되었습니다.
다음 페이지로 이동|다음 페이지로 이동
대여가 만료되어 다운로드 할 수 없습니다.|대여가 만료되어 다운로드 할 수 없습니다.
시계|시계
독서 진행률|독서 진행률
삭제|삭제
 이어서 남기기| 이어서 남기기
영문, 숫자 및 특수문자로 이루어진 경로만 가능합니다.|영문, 숫자 및 특수문자로 이루어진 경로만 가능합니다.
확인|확인
이메일 주소를|이메일 주소를
내 서재에 추가되었습니다.|내 서재에 추가되었습니다.
남겨진 책갈피가 없습니다.|남겨진 책갈피가 없습니다.
파일 생성 실패|파일 생성 실패
스크롤하면 다음 권으로 이동합니다.|스크롤하면 다음 권으로 이동합니다.
잠시 후 새로고침 해주세요.|잠시 후 새로고침 해주세요.
년 |년 
충전기를 연결해주세요.\n남은 배터리량은 |충전기를 연결해주세요.\n남은 배터리량은 
최근 사용일 미지원|최근 사용일 미지원
잔상 최소화 설정|잔상 최소화 설정
일반|일반
내 파일 추가|내 파일 추가
<b>다운로드 중지된 작품</b>을<br>전체 다운로드/삭제 할 수 있어요!|<b>다운로드 중지된 작품</b>을<br>전체 다운로드/삭제 할 수 있어요!
전체 다운로드하시겠습니까?|전체 다운로드하시겠습니까?
임시 데이터 파일 삭제|임시 데이터 파일 삭제
로그인 후 다운로드 할 수 있습니다.|로그인 후 다운로드 할 수 있습니다.
다운로드 취소|다운로드 취소
글꼴 파일을 추가하는 중입니다...|글꼴 파일을 추가하는 중입니다...
인증 번호가 유효하지 않습니다.|인증 번호가 유효하지 않습니다.
파일을 확인 중입니다...|파일을 확인 중입니다...
메모 추가|메모 추가
책장 동기화 중입니다. 잠시만 기다려주세요.|책장 동기화 중입니다. 잠시만 기다려주세요.
업데이트 다운로드 중입니다. 취소하시겠습니까?|업데이트 다운로드 중입니다. 취소하시겠습니까?
오류가 발생하여 동기화가 중지되었습니다.\n네트워크 연결을 확인해주세요.|오류가 발생하여 동기화가 중지되었습니다.\n네트워크 연결을 확인해주세요.
결제에 실패했습니다. 잠시 후 다시 시도해주세요.|결제에 실패했습니다. 잠시 후 다시 시도해주세요.
영구 삭제되어 볼 수 없는 작품입니다.|영구 삭제되어 볼 수 없는 작품입니다.
추가 할 수 있는 글꼴이 없습니다.|추가 할 수 있는 글꼴이 없습니다.
선택한 작품을 책장에 |선택한 작품을 책장에 
배터리 전원이 부족합니다.|배터리 전원이 부족합니다.
대여 만료되어 볼 수 없는 작품입니다. 결제 후 볼 수 있습니다.|대여 만료되어 볼 수 없는 작품입니다. 결제 후 볼 수 있습니다.
로그아웃되었습니다.|로그아웃되었습니다.
남겨진 메모도 함께 삭제됩니다.|남겨진 메모도 함께 삭제됩니다.
잠시만 기다려주세요...|잠시만 기다려주세요...
개의 파일 중 |개의 파일 중 
책장에 추가 중입니다...|책장에 추가 중입니다...
성별, 생년정보제공 동의(선택)|성별, 생년정보제공 동의(선택)
프론트라이트 켜질 때 밝기|프론트라이트 켜질 때 밝기
이용약관, 개인 정보 처리 방침, 개인 정보 제3자 제공 및 위탁에 동의해주세요.|이용약관, 개인 정보 처리 방침, 개인 정보 제3자 제공 및 위탁에 동의해주세요.
다른 기기에서 읽던 페이지를 찾는데 실패했습니다.|다른 기기에서 읽던 페이지를 찾는데 실패했습니다.
다음권이 소유되지도, 판매중이지도 않음.|다음권이 소유되지도, 판매중이지도 않음.
데이터 최적화 중입니다...|데이터 최적화 중입니다...
넘김 버튼 전환|넘김 버튼 전환
메타데이터 오류|메타데이터 오류
유효기간이 초과되었거나, 잘못된 인증번호입니다. 인증 메일을 다시 받으시기 바랍니다.|유효기간이 초과되었거나, 잘못된 인증번호입니다. 인증 메일을 다시 받으시기 바랍니다.
일련 번호|일련 번호
할 수 있습니다.|할 수 있습니다.
로맨스|로맨스
기기 등록에 실패했습니다.|기기 등록에 실패했습니다.
기기 등록을 시도합니다...|기기 등록을 시도합니다...
사용자 도서를 제외한 작품들을 책장에서 삭제했습니다.|사용자 도서를 제외한 작품들을 책장에서 삭제했습니다.
왼|왼
 전에| 전에
내부 저장소|내부 저장소
화|화
독서 진행률 계산 중입니다...|독서 진행률 계산 중입니다...
형광펜도|형광펜도
퀵 버튼을 길게 누르면 퀵 런처에서 해제할 수 있습니다.|퀵 버튼을 길게 누르면 퀵 런처에서 해제할 수 있습니다.
출생년도는 숫자로만|출생년도는 숫자로만
다운로드 경로|다운로드 경로
전체|전체
독서 상태 변경|독서 상태 변경
기본 위치|기본 위치
잔상 최소화|잔상 최소화
아직 작품이 없습니다.|아직 작품이 없습니다.
메모를 |메모를 
수정하신 이메일로 |수정하신 이메일로 
선택 |선택 
MB를 초과할 수 없습니다.|MB를 초과할 수 없습니다.
그냥 듣기|그냥 듣기
네트워크 연결이 필요합니다|네트워크 연결이 필요합니다
마지막 페이지입니다.|마지막 페이지입니다.
오늘, |오늘, 
잠금 비밀번호 변경|잠금 비밀번호 변경
로그인 확인 중입니다...|로그인 확인 중입니다...
<b>듣기 재생 중</b> 슬립화면에 진입해도 듣기가 계속 재생됩니다. 재생을 원치 않으실 경우 <b>일시정지</b> 혹은 <b>듣기 종료해주세요</b>.|<b>듣기 재생 중</b> 슬립화면에 진입해도 듣기가 계속 재생됩니다. 재생을 원치 않으실 경우 <b>일시정지</b> 혹은 <b>듣기 종료해주세요</b>.
기기를 초기화하고 처음 상태로 되돌아갑니다.\n다운로드한 책이 모두 삭제됩니다.\n삭제된 책은 로그인하여 구매 목록에서 다시 다운로드할 수 있습니다.|기기를 초기화하고 처음 상태로 되돌아갑니다.\n다운로드한 책이 모두 삭제됩니다.\n삭제된 책은 로그인하여 구매 목록에서 다시 다운로드할 수 있습니다.
이용약관에 동의해주세요.|이용약관에 동의해주세요.
블루투스 설정|블루투스 설정
제스처로 밝기와 색 온도를<br>조절하고 싶다면 <b>뷰어 설정</b>에서<br>설정할 수 있습니다.|제스처로 밝기와 색 온도를<br>조절하고 싶다면 <b>뷰어 설정</b>에서<br>설정할 수 있습니다.
일시적인 오류가 발생하였습니다. 다시 시도해주세요.|일시적인 오류가 발생하였습니다. 다시 시도해주세요.
' 책장에서 다운로드 중지된 |' 책장에서 다운로드 중지된 
카테고리별 책장에 대여중인 작품이 없습니다.|카테고리별 책장에 대여중인 작품이 없습니다.
로그인 후 |로그인 후 
최근 본 작품이 사용자 파일일 경우 기본 슬립 화면이 표시됩니다.|최근 본 작품이 사용자 파일일 경우 기본 슬립 화면이 표시됩니다.
댓글 작성 유의사항|댓글 작성 유의사항
추가|추가
시스템 사양|시스템 사양
표시 안 함|표시 안 함
진하기 설정|진하기 설정
 후| 후
숨기기 중 오류가 발생했습니다.다시 시도해주세요.|숨기기 중 오류가 발생했습니다.다시 시도해주세요.
가로모드에서 |가로모드에서 
을 삭제하면\n이 회차에 다시 |을 삭제하면\n이 회차에 다시 
가로/세로 10000px 이상의 고해상도 이미지\n이거나 파일을 읽어오는데 실패하였습니다.\n 이미지 파일 확인 후 다시 시도해주세요.|가로/세로 10000px 이상의 고해상도 이미지\n이거나 파일을 읽어오는데 실패하였습니다.\n 이미지 파일 확인 후 다시 시도해주세요.
잘못된 인증번호가 여러 번 입력되었습니다.|잘못된 인증번호가 여러 번 입력되었습니다.
업데이트|업데이트
하기|하기
전체 |전체 
듣기|듣기
최저 밝기|최저 밝기
 등록| 등록
마지막 페이지입니다. 스크롤해주세요.|마지막 페이지입니다. 스크롤해주세요.
 사용| 사용
최근 본 작품|최근 본 작품
첫 |첫 
판타지|판타지
페이지 번호|페이지 번호
시스템 업데이트|시스템 업데이트
이름을|이름을
내 서재에서 삭제|내 서재에서 삭제
잠금 비밀번호 설정|잠금 비밀번호 설정
듣기 기능을 사용할 수 없습니다.|듣기 기능을 사용할 수 없습니다.
구매 목록이 잠겨있습니다.|구매 목록이 잠겨있습니다.
내 서재에서 전체삭제|내 서재에서 전체삭제
책장에서 삭제|책장에서 삭제
숨기기|숨기기
잠금 비밀번호를 잊어버렸다면 고객센터로 문의해주세요.|잠금 비밀번호를 잊어버렸다면 고객센터로 문의해주세요.
페이지 진행 방향 선택|페이지 진행 방향 선택
설정|설정
하시겠습니까?|하시겠습니까?
작품 정보를 확인하지 못했습니다. 잠시 후 다시 시도해주세요.|작품 정보를 확인하지 못했습니다. 잠시 후 다시 시도해주세요.
로그아웃 중입니다...|로그아웃 중입니다...
페이지순|페이지순
다운로드를 중지하고 Wi-Fi를 끄시겠습니까?|다운로드를 중지하고 Wi-Fi를 끄시겠습니까?
 입니다.| 입니다.
댓글이 비공개 처리된 이력이 있어 작성할 수 없습니다.|댓글이 비공개 처리된 이력이 있어 작성할 수 없습니다.
을 삭제하시겠습니까?|을 삭제하시겠습니까?
책장 이름을 변경했습니다.|책장 이름을 변경했습니다.
DRM 버전이 지원 가능한 최대 버전보다 높음|DRM 버전이 지원 가능한 최대 버전보다 높음
주 전|주 전
를 |를 
구매한|구매한
보안 연결에 문제가 있어 내용이 보호되지 않을 수 있습니다. 계속 진행하시겠습니까?|보안 연결에 문제가 있어 내용이 보호되지 않을 수 있습니다. 계속 진행하시겠습니까?
검색 결과가 없습니다.|검색 결과가 없습니다.
결제|결제
 함께 삭제됩니다.\n삭제하시겠습니까?| 함께 삭제됩니다.\n삭제하시겠습니까?
법률 및 규제정보|법률 및 규제정보
대여 만료되어 볼 수 없는 작품입니다.|대여 만료되어 볼 수 없는 작품입니다.
지원하지 않는 key : |지원하지 않는 key : 
댓글 등록|댓글 등록
책갈피도|책갈피도
댓글이 수정되었습니다.|댓글이 수정되었습니다.
책 읽기 중 <b>한 손가락</b>으로<br>화면을 위아래로 쓸어서 쉽게<br>조절 할 수 있습니다.|책 읽기 중 <b>한 손가락</b>으로<br>화면을 위아래로 쓸어서 쉽게<br>조절 할 수 있습니다.
듣기(TTS) 사용하기|듣기(TTS) 사용하기
했습니다.|했습니다.
안드로이드 버전|안드로이드 버전
새 책장 추가|새 책장 추가
제품명|제품명
암호/잠금 설정|암호/잠금 설정
사용할 수 없는 경로입니다.|사용할 수 없는 경로입니다.
명조체|명조체
뒤로 가기|뒤로 가기
볼륨키로 페이지 이동 설정이 켜졌습니다.|볼륨키로 페이지 이동 설정이 켜졌습니다.
선택한 작품을 책장에 추가했습니다.|선택한 작품을 책장에 추가했습니다.
초기화|초기화
대여한|대여한
에러가 발생했습니다.|에러가 발생했습니다.
이전\n다음|이전\n다음
만 14세 미만은 홈페이지에서 법정대리인의 본인인증 후 회원가입할 수 있습니다.|만 14세 미만은 홈페이지에서 법정대리인의 본인인증 후 회원가입할 수 있습니다.
블루투스 미디어 오디오 기기와 연결되면<br/>하단 메뉴 바에 <b>듣기</b> 버튼이 나타나며,<br/><b>듣기 타이머</b>를 설정할 수도 있습니다.|블루투스 미디어 오디오 기기와 연결되면<br/>하단 메뉴 바에 <b>듣기</b> 버튼이 나타나며,<br/><b>듣기 타이머</b>를 설정할 수도 있습니다.
<b>듣기 재생 중</b> 슬립 화면에 진입해도 듣기가 계속 재생됩니다. 재생을 원치 않으실 경우 <b>일시 정지</b> 혹은 <b>듣기 종료<b/>해주세요.|<b>듣기 재생 중</b> 슬립 화면에 진입해도 듣기가 계속 재생됩니다. 재생을 원치 않으실 경우 <b>일시 정지</b> 혹은 <b>듣기 종료<b/>해주세요.
등록된 글꼴 |등록된 글꼴 
존재하지 않는 작품입니다.|존재하지 않는 작품입니다.
외장 SD 카드|외장 SD 카드
권을 |권을 
로그인|로그인
도서 정보 API - |도서 정보 API - 
잠시 후 다시 시도해주세요. 문제가 지속되면 고객센터로 문의 바랍니다.|잠시 후 다시 시도해주세요. 문제가 지속되면 고객센터로 문의 바랍니다.
이미지 진하기|이미지 진하기
